"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C191","C_0402","52.959mm","67.9196mm","52.959mm","67.9196mm","53.459mm","67.9196mm","T","180.00","GRM155R61A474KE15D"
"C190","C_0402","67.818mm","64.7446mm","67.818mm","64.7446mm","67.318mm","64.7446mm","T","360.00","GRM155R61A474KE15D"
"C189","C_0402","52.451mm","75.3872mm","52.451mm","75.3872mm","52.451mm","75.8872mm","T","270.00","GRM155R61A474KE15D"
"C188","C_0402","53.0098mm","56.9976mm","53.0098mm","56.9976mm","53.5098mm","56.9976mm","T","180.00","GRM155R61A474KE15D"
"C187","C_0402","44.6786mm","63.3984mm","44.6786mm","63.3984mm","44.6786mm","63.8984mm","T","270.00","GRM155R61A474KE15D"
"C186","C_0402","55.4736mm","75.4126mm","55.4736mm","75.4126mm","55.4736mm","74.9126mm","T","90.00","GRM155R61A474KE15D"
"C185","C_0402","49.9364mm","69.8754mm","49.9364mm","69.8754mm","50.4364mm","69.8754mm","T","180.00","GRM155R61A474KE15D"
"C184","C_0402","61.9506mm","61.9244mm","61.9506mm","61.9244mm","62.4506mm","61.9244mm","T","180.00","GRM155R61A474KE15D"
"C183","C_0402","53.467mm","79.4258mm","53.467mm","79.4258mm","53.467mm","78.9258mm","T","90.00","GRM155R61A474KE15D"
"C182","C_0402","47.9552mm","59.8678mm","47.9552mm","59.8678mm","47.4552mm","59.8678mm","T","360.00","GRM155R61A474KE15D"
"C181","C_0402","48.4378mm","62.3824mm","48.4378mm","62.3824mm","48.4378mm","62.8824mm","T","270.00","GRM155R61A474KE15D"
"C180","C_0805","47.4472mm","56.0832mm","47.4472mm","56.0832mm","46.4472mm","56.0832mm","T","360.00","GRM21BR71A475KA73L"
"C179","C_0805","69.2658mm","74.8284mm","69.2658mm","74.8284mm","69.2658mm","75.8284mm","T","270.00","GRM21BR71A475KA73L"
"C178","C_0805","42.6212mm","75.9206mm","42.6212mm","75.9206mm","42.6212mm","74.9206mm","T","90.00","GRM21BR71A475KA73L"
"C177","C_0805","66.1162mm","81.5594mm","66.1162mm","81.5594mm","65.1162mm","81.5594mm","T","360.00","GRM21BR71A475KA73L"
"C176","C_0805","65.4558mm","55.118mm","65.4558mm","55.118mm","65.4558mm","56.118mm","T","270.00","GRM21BR71A475KA73L"
"C175","C_0805","69.2658mm","78.9432mm","69.2658mm","78.9432mm","69.2658mm","77.9432mm","T","90.00","GRM21BR71A475KA73L"
"C174","C_0805","52.2986mm","54.9148mm","52.2986mm","54.9148mm","53.2986mm","54.9148mm","T","180.00","GRM21BR71A475KA73L"
"C173","C_0805","42.5958mm","63.0428mm","42.5958mm","63.0428mm","42.5958mm","64.0428mm","T","270.00","GRM21BR71A475KA73L"
"C172","C_0805","40.1574mm","63.0428mm","40.1574mm","63.0428mm","40.1574mm","64.0428mm","T","270.00","GRM21BR71A475KA73L"
"C171","C_0805","42.8244mm","79.2734mm","42.8244mm","79.2734mm","43.8244mm","79.2734mm","T","180.00","GRM21BR71A475KA73L"
"C170","C_0805","42.7736mm","82.0674mm","42.7736mm","82.0674mm","43.7736mm","82.0674mm","T","180.00","GRM21BR71A475KA73L"
"C169","C_0805","63.246mm","54.743mm","63.246mm","54.743mm","63.246mm","55.743mm","T","270.00","GRM21BR71A475KA73L"
"C168","C_1210","73.0758mm","75.9714mm","73.0758mm","75.9714mm","73.0758mm","77.4714mm","T","270.00","GRM32ER70J476ME20L"
"C167","C_1210","68.834mm","54.383mm","68.834mm","54.383mm","68.834mm","55.883mm","T","270.00","GRM32ER70J476ME20L"
"C166","C_1210","42.291mm","85.6996mm","42.291mm","85.6996mm","43.791mm","85.6996mm","T","180.00","GRM32ER70J476ME20L"
